custnumber,custname,shopsign
20242767,,
20242759,邮局1店,中国移动品牌手机
20242756,萬有超市店,中国联通5G智慧家庭店
20242755,东康街1店,手机维修服务中心
20242751,,
20242734,,
20242733,,旧爱回收
20242664,,
20242654,乐品店,乐品通讯
20242630,,
20242628,,
20242625,,
20242621,南院路店,价优好手机店
20242615,润丰新座店,手机维修
20242606,白马店,专业手机维修服务中心
20242603,建设街1店,四方通讯
20242546,,
20242531,,宜宾时越
20242525,利友店,利友店
20242520,启点智能店,启点智能通讯
20242519,文豪手机店,文豪手机店
20242473,启悦店,启悦通讯
20242471,易得电子店,海宁手机维修
20242462,,
20242460,,
20242441,,
20242438,邮政银行店,光裕手机维修
20242408,北宋北路店,千米快修
20242402,中山街D店,久久通讯
20242375,,
20242350,金典百货店,康师傅一站式手机服务中心
20242348,,
20242340,,
20242321,新阳光店,韩尚数码潮品店
20242261,桑林街店,123通讯手机快修
20242248,,
20242247,顺兴北路店,中国移动
20242241,玩转手机店,玩转手机饰品店
20242229,环乡路店,诚信数码
20242226,兴业八路店,铭信通讯
20242225,白陈路店,展翼数码
20242203,新东街路店,小马通讯
20242198,凌寒街1店,中国移动
20242193,,
20242191,建业西路店,华为
20242188,,
20242181,,
20242178,,
20242128,留格恒星店,中国移动恒星手机卖场
20242102,信德数码店,信德数码
