,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,famount,
monthday,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
yearmonth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202301,,1014002.12,1078068.97,1181182.68,1011186.77,1020749.52,992490.04,966293.17,1094065.14,1035902.41,970796.48,895764.55,769093.41,676227.07,419217.17,479590.58,470931.94,399434.21,314671.05,,,,382916.85,407300.69,493486.25,634427.54,719462.87,1571530.86,1371972.25,1310224.37,1306891.07,
202302,1325550.64,1205567.19,1080180.59,1030764.48,910100.34,992878.09,1337329.28,1040920.99,985046.04,873437.98,908050.47,1006405.6,1055798.53,1973863.18,,960258.61,982884.46,830501,981751.11,911285.34,1131803.04,812949.99,928915.62,997240.81,707436.24,786041.78,862027.02,736487.93,,,,
202303,835362.34,683543.49,759116,503051.19,1564160.85,1084302.22,960903.87,1133320.9,925960.55,766105.19,689494.32,742766.62,1065818.93,877472.26,879949.12,896878.8,768283.31,697518.67,841512.13,825044.62,828619.46,777442.08,805021.36,696231.62,679515.85,731078.52,798611.6,771356.98,757019.58,775670.94,718845.69,
202304,682557.04,761001.97,808034.81,790975.01,683483.24,808376.11,764521.85,731976.47,766212.49,869185.6,905993.44,929083.37,1744305.77,823475.31,823278.12,817834.18,708264.59,1182282.38,992416.18,915414.87,932611.62,799648.59,775894.16,868456.06,1463667,1449429.63,905023.09,,735776.56,636610.81,,
202305,698708.65,744239.33,796814.76,949730,935889.72,885397.61,792346.81,887792.45,829223.5,766551.89,738702.74,729923.1,624505.16,662379.9,676157.28,716582.75,1111657.84,834388.78,728659.67,767704.14,742818.46,794523.78,690561.52,741028.69,675258.45,692899.62,608195.86,642975.43,693211.58,531663.03,1043349.22,
202306,,1138433.77,1277612.91,1033983.57,1092027.97,750199.01,752268.19,1177086.74,782574.61,891237.9,891333.51,941657.23,876120.75,649140.31,1067556.07,2257994.68,1226165.07,1740199.25,1727791.91,1253884.93,1483727.26,807190.41,846227.85,937393.77,1095140.72,966100.77,879254.18,1182231.92,862798.75,1025449.81,,
202307,1008183.91,891153.05,962307.7,915365.27,1090654.41,945349.41,879766.97,869779.51,895874.61,1113865.7,858049.88,695743.35,1415182.98,945235.14,984598.34,843485.8,888722.84,913476.35,1052993.37,993866.67,827148.47,892988.65,858468.72,932712.71,1078938.51,835644.94,889451.34,987719.53,817867.17,835061.95,970295.49,
202308,1005468.32,943938.73,947635.89,898302.79,869111.69,883406.1,849420.09,670722.11,1810496.08,1154180.31,1318005.05,2221966.28,933617.64,1045013.75,961334.12,1001195.63,683182.54,1331052.58,976346.67,984695.62,1114765.79,1084472.39,1073367.19,949493.38,901366.95,886441.56,908150.95,990206.45,1107646.91,953386.39,950022.1,
202309,808397.72,788322.35,936720.76,946146.99,812612.45,767227.82,1539725.34,930988.62,1000936.52,955079.16,1037354.07,809621.22,903251.53,856728.35,943981.87,949577.45,885209.9,1101461.05,976469.96,848375.96,1202290.19,1295189.33,1982382.6,1110368.7,1192136.88,850702.02,684522.71,1036288.37,826348.27,901810.54,,
202310,794027.39,762774.61,834402.69,879127.66,892005.76,1062529.91,940337.85,784535.03,883050.94,861334.88,847379.71,792503.93,821598.61,744399.53,762862.66,930667.67,846447.26,817691.03,716116.39,1021209.98,850273.62,751506.89,856736.51,740175.33,748165.06,674330.6,663987.58,630890.32,561999.46,516762.47,1751393.93,
202311,,1736059.13,1792568.94,1556713.7,833134.06,921369.69,1081402.59,907439.35,662217.28,1409653.87,,,996317.02,837566.04,918495.05,959963.96,850417.59,827035.7,820138.41,851206.95,829933.06,1542743.62,815566,847962.04,720575.31,758835.5,808062.68,814932.09,1687824.64,838066.93,,
202312,761217.06,753267.76,784289.32,846399.38,761908.88,878085.58,763193.49,645973.24,873248.7,1641792.22,1353482.44,1386302.96,1302002.21,894428.91,846032.8,735755.19,826219.73,930358.9,692906.11,1198579.96,964113.2,988041.99,831276.99,908107.78,1152639.26,829632.98,850011.32,687950.31,691932.11,887227.24,726503.55,
,879941.4522,951858.625,1004812.778,960978.56,954689.6783,916655.9225,971142.1975,895569.0483,959075.5383,1028193.926,956240.1918,1013794.383,1042301.045,915494.1458,843951.1455,962482.1083,854032.2558,967116.6583,901814.4133,961024.4582,991645.8336,958790.7018,903944.6142,844705.965,909027.2067,841297.1217,798063.4333,913870.0173,919490.6618,837448.5891,1066757.293,
798063.4333,1.10 ,1.19 ,1.26 ,1.20 ,1.20 ,1.15 ,1.22 ,1.12 ,1.20 ,1.29 ,1.20 ,1.27 ,1.31 ,1.15 ,1.06 ,1.21 ,1.07 ,1.21 ,1.13 ,1.20 ,1.24 ,1.20 ,1.13 ,1.06 ,1.14 ,1.05 ,1.00 ,1.15 ,1.15 ,1.05 ,1.34 ,36.25 
